teamA,teamB,week,season
"Stoke City","West Ham United",15,1970-01-01T00:00:02.014Z
"Manchester City","Manchester United",15,1970-01-01T00:00:02.014Z
"Aston Villa","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Sunderland",15,1970-01-01T00:00:02.014Z
"Liverpool","Chelsea",15,1970-01-01T00:00:02.014Z
"Burnley","Hull City",15,1970-01-01T00:00:02.014Z
"Manchester United","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Southampton","Leicester City",15,1970-01-01T00:00:02.014Z
"West Ham United","Aston Villa",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Manchester City",15,1970-01-01T00:00:02.014Z
"Sunderland","Everton",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Stoke City",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Newcastle United",15,1970-01-01T00:00:02.014Z
"Swansea City","Arsenal",15,1970-01-01T00:00:02.014Z
"Chelsea","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Everton","West Ham United",15,1970-01-01T00:00:02.014Z
"Leicester City","Sunderland",15,1970-01-01T00:00:02.014Z
"Manchester City","Swansea City",15,1970-01-01T00:00:02.014Z
"Newcastle United","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Stoke City","Burnley",15,1970-01-01T00:00:02.014Z
"Arsenal","Manchester United",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Liverpool",15,1970-01-01T00:00:02.014Z
"Hull City","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Aston Villa","Southampton",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Arsenal",15,1970-01-01T00:00:02.014Z
"Burnley","Aston Villa",15,1970-01-01T00:00:02.014Z
"Liverpool","Stoke City",15,1970-01-01T00:00:02.014Z
"Manchester United","Hull City",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Leicester City",15,1970-01-01T00:00:02.014Z
"Swansea City","Crystal Palace",15,1970-01-01T00:00:02.014Z
"West Ham United","Newcastle United",15,1970-01-01T00:00:02.014Z
"Sunderland","Chelsea",15,1970-01-01T00:00:02.014Z
"Southampton","Manchester City",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Everton",15,1970-01-01T00:00:02.014Z
"Burnley","Newcastle United",15,1970-01-01T00:00:02.014Z
"Leicester City","Liverpool",15,1970-01-01T00:00:02.014Z
"Manchester United","Stoke City",15,1970-01-01T00:00:02.014Z
"Swansea City","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Aston Villa",15,1970-01-01T00:00:02.014Z
"West Bromwich …","West Ham United",15,1970-01-01T00:00:02.014Z
"Arsenal","Southampton",15,1970-01-01T00:00:02.014Z
"Chelsea","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Everton","Hull City",15,1970-01-01T00:00:02.014Z
"Sunderland","Manchester City",15,1970-01-01T00:00:02.014Z
"Newcastle United","Chelsea",15,1970-01-01T00:00:02.014Z
"Hull City","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Liverpool","Sunderland",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Burnley",15,1970-01-01T00:00:02.014Z
"Stoke City","Arsenal",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Manchester City","Everton",15,1970-01-01T00:00:02.014Z
"West Ham United","Swansea City",15,1970-01-01T00:00:02.014Z
"Aston Villa","Leicester City",15,1970-01-01T00:00:02.014Z
"Southampton","Manchester United",15,1970-01-01T00:00:02.014Z
"Burnley","Southampton",15,1970-01-01T00:00:02.014Z
"Chelsea","Hull City",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Stoke City",15,1970-01-01T00:00:02.014Z
"Leicester City","Manchester City",15,1970-01-01T00:00:02.014Z
"Sunderland","West Ham United",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Aston Villa",15,1970-01-01T00:00:02.014Z
"Arsenal","Newcastle United",15,1970-01-01T00:00:02.014Z
